Line,Source_ID,Redshift,Flux_Jy,NEFD_Jy,t_int_hr
OI 63$\rm \mu m$,44,3.1276,0.056052737674422114,10.907794300168325,262.97697717177726
OI 63$\rm \mu m$,45,2.5833,,,
OI 63$\rm \mu m$,46,3.1642,0.14944055794667577,9.191243363836257,26.269334947001752
OI 63$\rm \mu m$,47,4.4376,0.04973549270629883,2.625319818413893,19.349470841945408
OI 63$\rm \mu m$,48,5.323,0.05636980598771858,2.822126434096977,17.40593514974008
OI 63$\rm \mu m$,49,4.815,0.0983453369140625,2.395469790687404,4.120134177250578
OI 63$\rm \mu m$,50,2.4807,,,
OI 63$\rm \mu m$,51,2.026,,,
OI 63$\rm \mu m$,52,2.7272,,,
OI 63$\rm \mu m$,53,3.3466,0.20927793884277343,7.968536974314771,10.068106328817551
OI 63$\rm \mu m$,54,2.4521,,,
OI 63$\rm \mu m$,55,3.9977,0.18341600036621095,5.399794571804252,6.018905797157241
OI 63$\rm \mu m$,56,4.0898,0.07957294811402453,2.948242025075293,9.533072054090166
OI 63$\rm \mu m$,57,3.1551,0.1819006678204581,9.476670804132446,18.84866128129936
OI 63$\rm \mu m$,58,4.4359,0.07716754150390626,2.625319818413893,8.037715196384669
OI 63$\rm \mu m$,59,3.2601,0.1597266082763672,10.061891231445136,27.557651592653503
OI 63$\rm \mu m$,60,4.7678,0.07285637902497084,2.5392238453148637,8.435373513122485
OI 63$\rm \mu m$,61,2.78,,,
OI 63$\rm \mu m$,62,4.567,0.07320775874760437,2.5203445139302865,8.2308200243217
OI 63$\rm \mu m$,63,3.7604,0.09289212036132813,5.101544515918136,20.945132725217597
OI 63$\rm \mu m$,64,3.8507,0.09800930023193359,5.346780437740743,20.667485038850693
OI 63$\rm \mu m$,65,5.1937,0.06156208445681953,1.8865335964596917,6.521386839368102
OI 63$\rm \mu m$,66,2.8936,0.1572954864501953,9.112021005973267,23.30421137102354
OI 63$\rm \mu m$,67,2.5073,,,
OI 63$\rm \mu m$,68,4.2796,0.10597799682617187,2.8907608296188165,5.166904301937616
OI 63$\rm \mu m$,69,3.1413,0.04087862396240234,9.319732024632176,360.95396870012485
OI 63$\rm \mu m$,70,5.2927,0.048497920033314525,1.8531404119430148,10.139299125129334
OI 63$\rm \mu m$,71,2.7256,,,
OI 63$\rm \mu m$,72,4.7555,0.06914733130669003,2.6382979547998833,10.109608614674988
OI 63$\rm \mu m$,73,3.8617,0.055710159301757815,5.344598364253297,63.91442057457848
OI 63$\rm \mu m$,74,2.8759,0.11127922821044922,9.047597162233757,45.90667197246083
OI 63$\rm \mu m$,75,3.9,0.060580478668212895,5.898771015710436,65.84081257733837
OI 63$\rm \mu m$,76,4.302,0.07057675933837891,2.9535347706340414,12.16181121720251
OI 63$\rm \mu m$,77,5.8114,,,
OI 63$\rm \mu m$,78,5.5781,0.05745766067504883,1.5231617179983779,4.8801554880171505
OI 63$\rm \mu m$,79,1.867,,,
OI 63$\rm \mu m$,80,3.07,0.07409042358398438,9.337953902052554,110.31048747767449
OIII 88$\rm \mu m$,0,2.351,0.3417549133300781,5.2243224802523605,1.622810941404223
OIII 88$\rm \mu m$,1,4.1227,,,
OIII 88$\rm \mu m$,2,3.4436,0.36843975830078124,1.8612072225918659,0.17721235165250948
